Artical Id,Artical Title,Artical Data,,,,,
,,,,,,,
61,"[""'Neeraj Chopra very disciplined and dedicated"," will throw 93m in one or two years'""]","[""Neeraj Chopra won a silver medal in the Paris Olympics with a throw of 89.45m earlier this month while the gold went to Pakistan's Arshad Nadeem who stunned the javelin world with an Olympic record effort of 92.97m."""," 'Neeraj Chopra (Reuters photo)NEW DELHI: Legendary para-athlete Devendra Jhajharia believes that it is only a matter of time before Neeraj Chopra breaches the 90m mark predicting that the star javelin thrower could reach a distance of 93m within the next one to two years.Neeraj recently won a silver medal at the Paris Olympics with a throw of 89.45m while Pakistan\'s Arshad Nadeem set an Olympic record with a throw of 92.97m to win gold.On Thursday Neeraj finished second in the Lausanne Diamond League with a throw of 89.49m trailing behind Anderson Peters of Grenada who threw 90.61m.Jhajharia a double Paralympics gold medalist in the F46 category highlighted that once Neeraj breaks through the 90m barrier he expects the javelin thrower to exceed it by a significant margin predicting an increase of 3 to 4 meters.""If I say in the language of javelin throw 89-plus has become a barrier for Neeraj currently. I have seen in my sporting career of 20 years when a barrier is broken it does not break by just a mere metre or so but by 3 to 4 metres"" the 43-year-old Jhajharia told PTI.""When Neeraj does that he will not throw just 90-plus his javelin will go 3-4 metres farther. Please remember my words.""So Neeraj will throw 92m to 93m when the barrier is broken. He should do it in one or two years"" said Jhajharia who was elected as Paralympic Committee of India (PCI) president in March.Additionally Jhajharia who also won a silver medal at the Tokyo Paralympics noted that Neeraj\'s peak form is yet to come and anticipated it within the next two years.""Age is in his favour 26 is no age and I am hoping that he will be at his peak when he is 28 or 29. By then he will do his best.""He is very disciplined and very dedicated. I have seen that when we trained together in 2022 in Finland"" he said.Neeraj will turn 27 in December this year.']",,,
,,,,,,,
62,"[""Neeraj Chopra reveals reason behind his season's best throw in Diamond League""]","['Indian javelin throw star Neeraj Chopra has revealed that an advice to ""stay relaxed"" from his Kenyan counterpart Julius Yego proved decisively helpful in calming his racing mind before he pulled off a season\'s best effort to finish second in the Diamond League in Lausanne.'"," '(Reuters Photo)NEW DELHI: Neeraj Chopra the Indian javelin throw star shared that a piece of advice from Julius Yego his Kenyan rival played a crucial role in helping him maintain composure before delivering a season-best performance to secure second place at the Diamond League in Lausanne.Chopra found himself in fourth position after the fourth round but he managed to unleash a throw of 85.58m in his fifth attempt keeping him within the top three.TOP PICKS FOR YOU\'The feeling wasn\'t great at first but...\': Neeraj Chopra after his season\'s best effortIn his final attempt he achieved an impressive 89.49m on Thursday securing the second spot behind Anderson Peters of Grenada who threw 90.61m.The Indian athlete\'s performance showed a slight improvement compared to his 89.45m throw at the Paris Olympics just days earlier.  BY TABOOLASPONSORED LINKSYOU MAY LIKELearn about hotel management diplomahotel management diploma | Search AdsLearn MoreThe Diamond League format allows only the top three athletes after five rounds to make the final attempt and Chopra\'s ability to stay calm under pressure thanks to Yego\'s guidance proved instrumental in his success.""(Anderson) Peters threw 90m my body didn\'t feel good but the fighting spirit was nice today. I really liked my comeback. In the last throw I didn\'t think too much just gave my best"" Chopra told the host broadcaster in the mixed zone as quoted by PTI.""In the first throw I thought I will do this I will do that but in the last throw I did not also Julius Yego said \'relax you will throw far\'. I tried to relax"" he added.Yego finished sixth with an effort of 83m.Chopra described the competition that day as ""strange"" admitting that he didn\'t feel fully prepared when he began.""...in the beginning I did not think I will throw very far but in the end it was good"" he said.Asked how much more would he compete this season the Indian said ""May be two or one competition and then finish the season. I am not sure maybe Brussels (Diamond League finale).""Chopra\'s second-place finish on Thursday earned him seven points bringing him to 15 points and tying him with Weber for third place in the Diamond League standings.Peters moved into the top spot with 21 points while Czech Republic\'s Jakub Vadlejch who finished seventh with a throw of 82.03m holds second place with 16 points.The Diamond League finals this season will take place in Brussels on September 14 and Chopra needs to finish in the top six of the series standings to qualify.Despite dealing with a long-standing groin injury Chopra secured a silver medal at the Paris Olympics on August 8 adding to his historic gold from the Tokyo Games three years ago.Looking ahead to next year Chopra stated that his main goal is to regain full fitness.""First goal go to the doctor and make my groin 100 percent fit and also I will be technically better and try to throw far again"" he signed off.']",,,,
,,,,,,,
63,"[""'The feeling wasn't great at first"," but...': Neeraj Chopra after his season's best effort""]",['Despite fitness issues Neeraj Chopra threw a season-best of 89.49 meters at the Lausanne Diamond League securing second place. Anderson Peters from Grenada won with 90.61 meters. Chopra dealing with a groin ailment continues to compete and aims to qualify for the Diamond League final in Brussels before considering surgery.'," 'Neeraj Chopra. (Reuters Photo)NEW DELHI: Despite persistent fitness worries star Indian javelin thrower Neeraj Chopra put up a gutsy performance that resulted in a season\'s best effort of 89.49 meters finishing second in the Lausanne Diamond League.The 26-year-old started the fourth round in fourth place and shot his spear 85.58 meters on his fifth try. He left the best for last and he recorded a last try of 89.49 meters on Thursday which was just slightly better than the 89.45 meters he had just a few days before at the Olympics in Paris.He nearly missed the sixth throw but his 85.58-meter fifth round performance kept him safe.After five rounds only the top three receive their respective final chances.With a huge throw of 90.61 meters in the second round Grenada\'s Anderson Peters-a two-time world champion and bronze medallist at the Paris Olympics-won the competition. Julian Weber of Germany finished third with 87.08 meters.""The feeling wasn\'t great at first but I am happy with my throw especially the second (career) best throw on my last attempt. It was a tough start but the comeback was really nice and I enjoyed the fighting spirit I showed"" Chopra said after the event as per PTI.""Even though my early throws were around 80-83m I pushed hard in the last two attempts finishing strong. Competing at this high level it\'s important to stay mentally tough and fight through.""After having trouble finding his form the previous year Peters dominated this competition from start to finish setting a record for his class with a throw of more than 90 meters in the final round. In 2022 he set a personal best of 93.07 meters.Chopra is tied for third place in the Diamond League rankings with Weber with 15 points having earned seven points from Thursday\'s second-place result. Peters scored 21 points to take the lead.With 16 points Jakub Vadlejch of the Czech Republic who placed seventh on Thursday (82.03 meters) is currently in second place.Despite having a chronic groin ailment Chopra finished the Olympics on August 8 with a silver medal adding to his historic gold from the Games in Tokyo three years prior.Arshad Nadeem of Pakistan defeated Chopra in Paris with an Olympic record throw of 92.97 meters. Nadeem was absent from the field at the Lausanne Diamond League.Chopra said on Saturday that he would be playing in the Lausanne Diamond League delaying his decision regarding a potential surgery until the end of the current campaign.In the winner-take-all Diamond League final held in Eugene USA last year Chopra finished second behind Vadlejch. Chopra had won the Lausanne leg in 2022 and 2023.The DL finals for this season will take place on September 14 in Brussels. To make it to the series finale Chopra must be among the top six finishers.On September 5 there will be another DL meeting in Zurich with a men\'s javelin throw competition scheduled.This year Chopra has failed to win a DL meeting. On May 10 he came in second to Vadlejch in Doha.Having taken home the gold at the Budapest World Championships the previous year the Indian has been managing his groin issue.']",,,
,,,,,,,
64,"[""Neeraj Chopra finishes second in Lausanne Diamond League with season's best 89.49m""]",['Paris Olympics silver medallist Neeraj Chopra finished second in the Lausanne Diamond League javelin throw event with a season best effort of 89.49m on Thursday. The 26-year-old Chopra was at fourth spot till the fourth round before sending his spear to 85.58m in his fifth attempt. He saved the best for the last as his sixth and final attempt measured 89.49m.', 'Neeraj Chopra (Reuters Photo)NEW DELHI: Paris Olympics silver medallist Neeraj Chopra secured the second position in the Lausanne Diamond League javelin throw competition on Thursday achieving a season-best performance of 89.49m.Until the fourth round the 26-year-old Chopra was in fourth place. However in his fifth attempt he launched his spear to a distance of 85.58m.He saved the best for the last as his sixth and final attempt measured 89.49m.The event was won by Anderson Peters of Grenada the two-time world champion and Paris Olympics bronze medallist with a massive throw of 90.61m in his second round.Julian Weber of Germany clinched the third position with a throw of 87.08m.Chopra who has been dealing with a persistent groin injury won a silver medal at the Paris Olympics on August 8 with a throw of 89.45m.This achievement follows his historic gold medal victory at the Tokyo Olympics three years prior.'],,,,
,,,,,,,
65,['Neeraj Chopra disappointed after falling short of 90m mark in Lausanne - WATCH'],['Neeraj Chopra the Paris Olympics silver medallist secured the second position in the Lausanne Diamond League javelin throw competition on Thursday achieving a season-best performance of 89.49m. Until the fourth round the 26-year-old Chopra was in fourth place. However in his fifth attempt he launched his spear to a distance of 85.58m. He saved the best for the last as his sixth and final attempt measured 89.49m.Read More', ''],,,,
,,,,,,,
66,['Neeraj Chopra takes field in Lausanne for Diamond League title'],['Indian javelin star Neeraj Chopra fresh off a silver medal at the Paris Olympics will compete at the Lausanne Diamond League meeting. His goal is to reclaim the Diamond League trophy at the Brussels finale. Despite a persistent groin injury Chopra ranked fourth in the standings aims to improve on last year’s second-place finish.', 'Indian javelin star Neeraj Chopra fresh off a silver medal at the Paris Olympics will compete at the Lausanne Diamond League meeting. His goal is to reclaim the Diamond League trophy at the Brussels finale. Despite a persistent groin injury Chopra ranked fourth in the standings aims to improve on last year’s second-place finish.'],,,,
,,,,,,,
67,['Neeraj Chopra confirms he will play at the Lausanne Diamond League'],"[""India's legendary javelin-thrower Neeraj Chopra who won a silver medal at the Paris Olympics said that he was fully confident of upstaging Pakistan's eventual gold medallist Arshad Nadeem's giant throw in the final but his less-than-100% physical condition didn't allow that. However Neeraj has confirmed that he will be competing at the Lausanne Diamond League later this month."""," ""India's legendary javelin-thrower Neeraj Chopra who won a silver medal at the Paris Olympics said that he was fully confident of upstaging Pakistan's eventual gold medallist Arshad Nadeem's giant throw in the final but his less-than-100% physical condition didn't allow that. However Neeraj has confirmed that he will be competing at the Lausanne Diamond League later this month.""]",,,,
,,,,,,,
68,"[""Neeraj Chopra's medal at Paris Olympics not quite a silver lining in athletics""]","[""India's 27-member athletics contingent led by Tokyo Olympics gold medallist Neeraj Chopra secured only one medal at the Paris Olympics - Neeraj's silver in javelin throw. Expectations were high due to previous performances in the 2022 Commonwealth and Asian Games but only Neeraj and Avinash Sable reached the finals. Emphasizing the need for a larger pool of elite athletes."""," ""India's 27-member athletics contingent led by Tokyo Olympics gold medallist Neeraj Chopra secured only one medal at the Paris Olympics - Neeraj's silver in javelin throw. Expectations were high due to previous performances in the 2022 Commonwealth and Asian Games but only Neeraj and Avinash Sable reached the finals. Emphasizing the need for a larger pool of elite athletes.""]",,,,
,,,,,,,
69,"[""Shocking! Saina Nehwal didn't know there's an event called javelin until Neeraj Chopra won Olympic gold""]",['Saina is a three-times Olympian besides being a Commonwealth Games (CWG) gold medallist on three occasions and winner of two bronze medals at the Asian Games. However her recent comment about the track-and-field event javelin throw is in shocking contrast to her multiple appearances at global multidisciplinary events since the 2006 CWG.'," 'Saina Nehwal and Neeraj Chopra (IANS/ANI Photos)Saina Nehwal\'s bronze medal at the 2012 London Olympics led to a badminton revolution in India especially among the women trying to make it big in the sport which makes her one of the icons of badminton in the country.The 34-year-old from Haryana who recently turned to politics is a three-times Olympian besides being a Commonwealth Games (CWG) gold medallist on three occasions and winner of two bronze medals at the Asian Games.However her recent comment about the track-and-field event javelin throw is in shocking contrast to her multiple appearances at global multidisciplinary events since the 2006 CWG.Appearing on a podcast Saina\'s response to podcaster Shubhankar Mishra\'s comment that he didn\'t know about javelin throw until Neeraj Chopra won Olympic gold in Tokyo startled the viewers.""When Neeraj won (Tokyo gold in 2021) that\'s when I got to know there is such an event in athletics"" she said in the teaser of the yet-to-be-released episode.  BY TABOOLASPONSORED LINKSYOU MAY LIKEI can\'t lose my son! Please save him from a deadly disorderGive Hope IndiaLearn MoreFive years before becoming the Olympic gold medallist Neeraj was crowned the junior world champion in 2016.He also became the Asian Games and Commonwealth Games gold medallist in 2018.Before his silver medal at the Paris Olympics this week where Pakistan\' Arshad Nadeem pipped the defending champion to gold Neeraj was crowned the world champion at the 2023 Budapest World Championships.']",,,,
,,,,,,,
70,"[""'Never compare myself with Kohli or Dhoni because...': Neeraj Chopra on his popularity in India""]","[""Neeraj Chopra's popularity in the country has skyrocketed since he won India's first Olympic gold medal in athletics at the Tokyo Olympics. But the fame doesn't seem to get into his head and continues to display his modest nature."""," '(Photo by Lintao Zhang/Getty Images)NEW DELHI: Neeraj Chopra\'s popularity in the country has skyrocketed since he won India\'s first Olympic gold medal in athletics at the Tokyo Olympics. But the fame doesn\'t seem to get into his head and continues to display his modest nature.When asked about his fame in comparison to renowned cricketers like Virat Kohli and MS Dhoni Neeraj humbly declined to draw any parallels.Neeraj acknowledged that cricket remains the most beloved sport in India.However he aspires for javelin to reach similar levels of popularity and success within the country. Neeraj clarified that he doesn\'t wish for javelin\'s growth to come at the cost of other sports.""If you respect your sport and feel satisfied with it then nothing else should matter"" Neeraj Chopra told Sportstar.""At the Doha Diamond League I was asked how popular I was in India. I never tried to compare myself with the likes of Virat Kohli or MS Dhoni because I\'m very well aware of the reality of what I am in India"" he said.""Yes obviously after the Olympics people recognize me a lot more but I know there is a stark difference in my popularity compared to that of a cricketer. Cricket is played in every single alley in the country. It\'s not like people practise javelin throw in the same way"" the javelin ace added.""I don\'t want any shortcuts to make my sport popular. I want my sport to become popular with my hard work and effort.""""If there are more javelin-based competitions in India like the Diamond League people will become more interested in watching and following the sport. With talented javelin athletes in India there should be national-level leagues to compete. This would help to boost the sport in India"" he further said.Neeraj will lead Indian contingent of 118 athletes in the Paris Olympics starting July 26.']",,,,
,,,,,,,
71,['Jyothi Yarraji set to be first Indian 100m hurdler in Olympics as World Athletics updates list of qualified athletes'],['Jyothi Yarraji is poised to become the first Indian 100m hurdler to participate in the Olympics while shot putter Abha Khatua secured an unexpected spot through world rankings for the upcoming Paris Games. The World Athletics released the list of athletes who qualified directly by surpassing the entry standard and those who made it through the world ranking quota on Tuesday. However the Athletics Federation of India (AFI) will have the final say in selecting the athletes who qualified via the world ranking quota.', 'Jyothi Yarraji is poised to become the first Indian 100m hurdler to participate in the Olympics while shot putter Abha Khatua secured an unexpected spot through world rankings for the upcoming Paris Games. The World Athletics released the list of athletes who qualified directly by surpassing the entry standard and those who made it through the world ranking quota on Tuesday. However the Athletics Federation of India (AFI) will have the final say in selecting the athletes who qualified via the world ranking quota.'],,,,
,,,,,,,
72,['Neeraj Chopra opts out of Paris Diamond League: Report'],"[""Olympic and world champion javelin thrower Neeraj Chopra has withdrawn from this Sunday's Paris Diamond League due to an adductor niggle that has been bothering him for the past few months according to a report. Neeraj who led the field at last month's Paavo Nurmi Games in Turku Finland with a throw of 85.97m stated that he has become wiser over the years. He no longer puts himself at risk to fulfill commitments as he used to before winning his Olympic gold."""," 'Neeraj Chopra. (File Pic - Photo by Patrick Smith/Getty Images)NEW DELHI: Olympic and world champion javelin thrower Neeraj Chopra has withdrawn from this Sunday\'s Paris Diamond League due to an adductor niggle that has been bothering him for the past few months according to a report.In an interview with \'ESPN\' Neeraj mentioned that he is concentrating on training and strengthening his blocking leg.""I need to strengthen my blocking leg when I throw because that\'s when my groin gets pulled.We\'re working on that to see how we can reduce the impact on the groin and control the pressure on it"" PTI quoted Neeraj who explained the issue for which he will consult ""different doctors"" after the Paris Games.""I could have competed in more events for sure and that was the plan. But I have realised that my health is paramount that comes first. Even if I feel the slightest discomfort or like I am pushing myself too much in training I\'ve learnt to pause for a bit"" he added.  BY TABOOLASPONSORED LINKSYOU MAY LIKELearn about hotel management diplomahotel management diploma | Search AdsLearn MoreThe block phase is a crucial maneuver in javelin throwing where the pace generated by the run-up is transferred to the hip and then to the throwing arm before the javelin is launched.Neeraj who led the field at last month\'s Paavo Nurmi Games in Turku Finland with a throw of 85.97m stated that he has become wiser over the years. He no longer puts himself at risk to fulfill commitments as he used to before winning his Olympic gold.""Back then if I had an entry in a competition I would definitely go and compete no matter what happened. But now with more experience I am better placed to make correct decisions"" he said.""I was happy with my performance in Turku but I felt there was more work to do. I was slow on the runway compared to my normal speed.""I want that speed back and for that I need proper confidence that I am fully fit and that my groin is fit. I want to feel confident when I run on the runway"" he pointed out.']",,,,
,,,,,,,
73,['Olympic dreams in jeopardy as Indian javelin star DP Manu provisionally suspended due to suspected anti-doping rule violation'],"[""Indian javelin thrower DP Manu faces a setback in Olympic qualification as the Athletics Federation of India (AFI) provisionally suspends him following a suspected anti-doping rule violation directed by the National Anti-Doping Agency (NADA). The specifics of the alleged violation are undisclosed with Manu seeking clarification. Ranked 15th globally for the Paris Olympics Manu's suspension jeopardizes his bid alongside compatriots Neeraj Chopra and Kishore Jena. With the qualification deadline approaching the outcome of the NADA investigation will decide his Olympic fate.Read More""", ''],,,,
,,,,,,,
74,"[""Kiran Pahal secures Olympic berth in women's 400m""]","[""Kiran Pahal from Haryana secured her spot at the Paris Olympics by achieving a time of 50.92 seconds in the women's 400m semifinal at the National Inter-State Athletics Championships in Panchkula on Thursday. The qualifying standard for the event was set at 50.95 seconds which Pahal successfully surpassed. With this performance Pahal not only recorded her season's best timing but also became the second Indian woman to complete the race in under 51 seconds."""," ""Kiran Pahal from Haryana secured her spot at the Paris Olympics by achieving a time of 50.92 seconds in the women's 400m semifinal at the National Inter-State Athletics Championships in Panchkula on Thursday. The qualifying standard for the event was set at 50.95 seconds which Pahal successfully surpassed. With this performance Pahal not only recorded her season's best timing but also became the second Indian woman to complete the race in under 51 seconds.""]",,,,
,,,,,,,
75,['Neeraj Chopra happy with his abductor, plans to address the recurring issue post Olympics'],['Indian javelin thrower Neeraj Chopra has recently spoken about the adductor niggle that has been impacting his performance this season. He plans to seek advice from various medical professionals after the upcoming Paris Olympics to find a solution for this persistent problem. Despite the injury Chopra made a successful comeback at the Paavo Nurmi Games on Tuesday securing his first gold medal at the event with a throw of 85.97m in his third attempt. This achievement came after a month-long hiatus from competitions.', 'Indian javelin thrower Neeraj Chopra has recently spoken about the adductor niggle that has been impacting his performance this season. He plans to seek advice from various medical professionals after the upcoming Paris Olympics to find a solution for this persistent problem. Despite the injury Chopra made a successful comeback at the Paavo Nurmi Games on Tuesday securing his first gold medal at the event with a throw of 85.97m in his third attempt. This achievement came after a month-long hiatus from competitions.'],,,
,,,,,,,
76,['Javelin star Neeraj Chopra claims gold at Paavo Nurmi Games'],['Neeraj Chopra Olympic and world champion javelin thrower secured his first gold medal at the Paavo Nurmi Games in Turku Finland on Tuesday after returning from a minor injury break. The competition also included 19-year-old German talent Max Dehning and local favorite Toni Keranen. Neerj secured gold with a throw of 85.97m on his third attempt.', 'Neeraj Chopra Olympic and world champion javelin thrower secured his first gold medal at the Paavo Nurmi Games in Turku Finland on Tuesday after returning from a minor injury break. The competition also included 19-year-old German talent Max Dehning and local favorite Toni Keranen. Neerj secured gold with a throw of 85.97m on his third attempt.'],,,,
,,,,,,,
77,['Para sprinter Simran Sharma targets gold at Paralympic Games'],['From being mocked for her visual impairment to winning gold in the recent World Para Athletics Championships in Kobe Japan Simran Sharma has come a long way. Coached by her husband Gajendra Singh who works for Army Service Corps she trains regularly at Jawaharlal Nehru Stadium. Simran’s hard work and resilience helped her overcome physical and socio-economic challenges and clinch the T12 200m gold in style at the Worlds. The 26-year-old emerged winner in 24.95 seconds an improvement from her previous personal best time of 25.16 seconds.', 'NEW DELHI: From being mocked for her visual impairment to winning gold in the recent World Para Athletics Championships in Kobe Japan Simran Sharma has come a long way. Coached by her husband Gajendra Singh who works for Army Service Corps she trains regularly at Jawaharlal Nehru Stadium.Simran’s hard work and resilience helped her overcome physical and socio-economic challenges and clinch the T12 200m gold in style at the Worlds.The 26-year-old emerged winner in 24.95 seconds an improvement from her previous personal best time of 25.16 seconds.Not one to rest on her laurels Simran targets podium finishes in the T-12 100m and 200m sprints at the Paris 2024 Paralympic Games scheduled from August 28 to September 8. “My coach’s suggestion is that once an event is completed I should look at the next one” she said recalibrating her targets.“He told me now that the World Championships is over start training for the next major event. So the season’s next target is Paralympics. If I am fit and injury-free I will definitely try bringing two gold medals for the country” Simran told SAI Media.Simran has been winning the National Championship and the Indian Open in both the 100m and 200m since 2022. She also won two silver medals in the Asian Para Games in Hangzhou last year. She also won three gold in the 100m 200m and long jump in the inaugural Khelo India Para Games in December 2023 and was inducted in the Target Olympic Podium Scheme.Simran could have clinched gold in the 100m also but was disqualified due to a false start. This resulted in immense pressure for her to clinch the berth for Paralympics through the 200m race. Naturally she was glad to have booked her ticket to the French capital.“I always had this dream that I be the reason for playing our National Anthem in an international tournament like the World Championships. I got disqualified in 100m. Thereafter I competed in the 200m heats and made the semifinals where I came second. I was a bit nervous whether I would claim gold” she revealed.“I sat and recalled the number of times I got injured the challenges I faced through seven years before reaching this position. The intention was to give my best shot and I prayed God to give me the strength to fulfill everyone’s expectations. I took the lead on the bend itself and am very happy that I clinched the place for Paris” Simran said.Simran was born prematurely and spent the next 10 weeks in an incubator where it was discovered that she is visually impaired. Born to a medical practitioner Manoj Kumar and Savita Sharma a housewife Simran always knew that it was challenging to think of becoming a sportsperson.The Tokyo 2020 Paralympian’s tryst with the track began in her hometown Modinagar in Ghaziabad. “My father was bed-ridden for 14 to 15 years and my mother is a housewife so financially we were in very bad situation and thinking of pursuing sports as a career was very difficult” she said.However a meeting with her eventual husband Gajendra Singh at MM College grounds in Modinagar in 2015 helped her take up running. Gajendra worked on building her muscle strength and stamina before concentrating on her technique. There were times when they would request the Modinagar stadium to be available late in the night after he returned from work.The couple tied the knot in 2017 amid resistance from families. “When we went to train people used to tease me for being visually impaired and for running a pair of shorts. I realised that if I had the support of my husband I need nothing else” she said.In 2019 Simran competed in World Para Grand Prix to receive her T13 license. However Gajendra had to sell off a portion of his land to finance the license. He said he was glad that she had proved everyone who mocked her wrong. “When she won gold in Japan I told them all ‘My wife is a world champion’. I am sure she will make India proud” he said.“I am thankful to SAI and Paralympic Committee of India (PCI) for the support and for letting me compete in the Asian Para Games without selection trials. I was coming back from a hamstring injury suffered during the World Championships. But I clinched two silver medals in Hangzhou and that was a huge relief” Simran said.She now dreams of being in the Paralympic Games podium in just a few months.'],,,,
,,,,,,,
78,"[""Indian Grand Prix 3: Ancy Sojan pips Nayana in women's long jump; Koshore Jena fails to start""]","[""Asian Games silver medallist Ancy Sojan returned to action in style as she won the gold in women's long jump at the Indian Grand Prix 3 with a leap of 6.52m at the Sree Kanteerava Stadium in Bengaluru on Wednesday."""," ""Ancy Sojan (PTI Photo)BENGALURU: Asian Games silver medallist Ancy Sojan returned to action in style as she won the gold in women's long jump at the Indian Grand Prix 3 with a leap of 6.52m at the Sree Kanteerava Stadium here on Wednesday.The 23-year-old with a personal best of 6.63m started with a modest effort of 5.62m but soon got going as she leaped to 6.51m on her third attempt.Taiwan Open Champion Nayana James came up second best in the evening as she managed a best of 6.48m on her sixth and final attempt after beginning the action with two foul jumps. Assured of the gold before her final jump Sojan who will fancy her chances to bag an unlikely berth for the Paris Games improved her performance by another centimetre to celebrate her last start to the season in style.As the Kerala stars bagged the gold and silver medals as expected Andhra Pradesh's Bhavani Yadav Bhagavat took the bronze with a best leap of 6.27m.Manikanta second Sneha shines  BY TABOOLASPONSORED LINKSYOU MAY LIKELearn about hotel management diplomahotel management diploma | Search AdsLearn MoreIn the men's 100m final (Race A) Tamil Nadu's Ragul Kumar G shocked national record holder Manikanta Hoblidhar of Karnataka. Kumar crossed the line in 10.56s as Hoblidhar timed 10.64s to bag the silver. Abhinav C of Kerala came third in 10.67s. The women's 100m dash saw hosts' Sneha win the A race title in 11.41s. She was followed by TN's Abhinaya Rajarajan (11.6) and Sneha's teammate V Sudeeksha (11.75)In women's 200m Telangana's Nithya Gandhe took the top spot in 24.23 seconds even as Hima Das finished last with a disappointing effort of 25.09s. Abha Khatua continued her reign in women's shot put. She won with a day's best of 17.93m. Haryana Shiksha emerged a distant second at 15.38m. The much awaited women's 400m final saw Dandi Jyothika Sri of AP winning the gold in RAce A clocking 51.53s. Subha Venkatesan (TN 52.34) and MR Poovamma (Kar 52.62) finished second and third respectively.Asian Games silver medallist Kishore Kumar Jena's pull out robbed the sheen out of the men's javelin throw. In the absence of Manu DP Sachin Yadav emerged on top with a best of 82.69m as Rohit Yadav returning from a long injury lay-off settled for a best of 75.52m.""]",,,,
,,,,,,,
79,"[""PV Sindhu goes down in quarters"," India's campaign ends at Denmark Open""]","[""Indian badminton star PV Sindhu exited the Denmark Open after losing to Indonesia's Gregoria Tunjung in the quarterfinals. Tunjung dominated their nearly hour-long match despite Sindhu winning the second game. This defeat marks another setback for Sindhu in a challenging season following her earlier victory over China's Han Yue.Read More"""," ""(PTI Photo)ODENSE: Indian star PV Sindhu bowed out with a quarterfinal loss to Paris Olympics bronze-winner Gregoria Tunjung as the country's campaign came to an end in the Denmark Open badminton tournament on Friday. The 29-year-old Sindhu went down 13-21 21-16 9-21 in a nearly hour-long clash.The world number 8 from Indonesia who had won just two matches from their 12 past encounters was at her dominant best despite Sindhu managing to claim the second game.Top-seed An Se Young of South Korea will be the fifth-seeded Tunjung's semifinal opponent.Tunjung displayed command on the proceedings and reeled off eight points in a row to take the first game rather easily.  BY TABOOLASPONSORED LINKSYOU MAY LIKELearn about hotel management diplomahotel management diploma | Search AdsLearn MoreBut Sindhu who had stunned the fourth-seeded world number seven han Yue of China in the pre-quarters looked a different player in the second game and raced to a 6-1 lead before her opponent levelled it six-all and rallied to a 9-7 lead.Sindhu once again fought her way back to snatch the lead at 11-10 after the break and made it 19-15 before sealing the game 21-16 to take the match to the decider.However she could not sustain the momentum as Tunjung roared back to claim the lopsided game and with that the match.The loss continues a season of discontent for the two-time Olympic medal-winning Indian who returned empty-handed from the Paris Games.""]",,,
,,,,,,,
80,['PV Sindhu enters Denmark Open quarters with fighting win over Han Yue'],['Star Indian shuttler PV Sindhu defeated world number seven Han Yue in a three-game match at the Denmark Open Super 750. Sindhu won with scores of 18-21 21-12 21-16. This victory marked her first win over a top-10 player since May. Sindhu will face either Gregoria Mariska Tunjung or Mia Blichfeldt in the quarterfinals.'," ""NEW DELHI: Two-time Olympic medallist PV Sindhu staged a remarkable comeback to defeat world number seven Han Yue of China in a thrilling three-game contest at the Denmark Open Super 750 badminton tournament in Odense on Thursday.Despite a sluggish start Sindhu currently ranked 18th clinched the match with a scoreline of 18-21 21-12 21-16 in a grueling 63-minute battle.This significant victory marks Sindhu's first triumph over a top-10 player since her win against Han in the Malaysia Masters final in May. The win also improves her head-to-head record against the Chinese shuttler to 7-1 in eight encounters.Sindhu the sole surviving Indian in the tournament will face either Indonesia's Gregoria Mariska Tunjung or Denmark's Mia Blichfeldt in the quarterfinals marking only her third last-eight appearance this year.  BY TABOOLASPONSORED LINKSYOU MAY LIKELearn about hotel management diplomahotel management diploma | Search AdsLearn MoreThe match began with short rallies with the players splitting the initial eight points. However Sindhu conceded five consecutive points falling behind. She attempted to extend the rallies to exhaust her opponent who had endured a lengthy opener the previous day.Despite reducing the deficit to 9-10 Sindhu struggled with her aggressive approach and trailed 13-17. Han capitalized on Sindhu's poor shot execution securing six game points before clinching the first game with a cross-court shot.Sindhu entered the second game with renewed determination taking a 3-0 lead. She unleashed a thunderous smash at 4-3 signaling her intent.With increased pace in the rallies Sindhu established a five-point advantage at the break benefiting from Han's unforced errors. The Indian star asserted her dominance reaching 15-7 with a net kill. She quickly claimed 10 game points and forced a deciding game.In the final game both players raised the intensity with Sindhu adopting a more proactive approach. She led 6-3 early on but Han fought back pulling ahead by four points at the interval.Sindhu responded with four consecutive points to level the score. The lead exchanged hands frequently from 14-14 to 16-16. Sindhu then moved two points clear as Han's shots went wide. She secured four match points with a backhand winner and sealed the victory when Han miscued a shot.""]",,,,
,,,,,,,
