Artical Id,Artical Title,Artical Data,
,,,
46,['Neeraj Chopra says he featured in Diamond League final with fractured left hand']," ""Neeraj Chopra India's celebrated javelin thrower competed in the Diamond League finale in Brussels despite fracturing his left hand during training. He finished second with a throw of 87.86m narrowly missing first place by one centimeter. Chopra aims to return fully fit next season after consulting a doctor for a persistent groin injury.""]",
,,,
47,['Neeraj Chopra finishes second, 'Neeraj Chopra finished second in the men’s javelin throw at the Diamond League Final in Brussels missing out on the title by just 0.01 meters. Anderson Peters of Grenada secured first place with a huge throw of 87.87 meters while Julian Weber finished third with a best effort of 85.97 meters.'],
,,,
48,['Birthday boy Avinash Sable finishes ninth in Diamond League Final']," ""Avinash SableNEW DELHI: Indian steeplechase national record holder Avinash Sable finished ninth in his Diamond League final debut in Brussels on Friday marking his 30th birthday with a below-par performance. He clocked 8 minutes and 17.09 seconds in the race not matching the national record of 8:09.91 he set in the Paris leg of the DL series in July.The race saw Kenya's Amos Serem win the championship with a time of 8:06.90.Soufiane El Bakkali from Morocco the reigning Olympic and world champion came in second at 8:08.60. Tunisia's Mohamed Amin Jhinaoui secured third place clocking 8:09.68.Sable unexpectedly qualified for his first Diamond League final having finished 14th in the overall standings with three points from two meetings. He made it to the top 10 cut-off due to withdrawals by Ethiopia's Lamecha Girma New Zealand's Geordie Beamish Japan's Ryuji Mura and the USA's Hillary Bor as per PTI report.Throughout the season Sable had mixed results. He set a personal best and national record of 8:09.91 in the Paris leg in July finishing sixth. However he finished 14th in the Silesia leg in August with a time of 8:29.96. He also finished 11th in the 3000m steeplechase at the Paris Olympics with a time of 8:14.18.Meanwhile world champion javelin thrower Neeraj Chopra who won a silver at the Paris Olympics will compete in the Diamond League final on Saturday.""]",
,,,
49,"[""Buldhana's Nayan wins SAAF junior silver"," ""Buldhana sprinter Nayan Sarde earned his first international medal by clinching silver in the 110m hurdles at the South Asian Athletics Federation Junior Championships in Chennai. Trained in Nagpur Nayan overcame a slow start due to a teammate's disqualification and finished with a time of 14.14 seconds.""]",
,,,
50,['Neeraj Chopra spearheads Indian challenge in Diamond League season finale']," ''][""The Diamond League season finale in Brussels features top athletes like Neeraj Chopra and Avinash Sable. Chopra aims for a strong finish after a successful season while Sable seeks to improve on his Olympic performance. Winners receive a 'Diamond Trophy' prize money and entry into the World Athletics Championships.Read More""",
,,,
51,['In Arshad Nadeem," ""Arshad Nadeem's historic gold medal win in javelin at the Paris Olympics has rejuvenated Pakistan's sporting spirit. His Olympic record throw of 92.97 meters has inspired numerous young athletes like Bilal Muhammad and Aiza Ahmed to take up athletics significantly boosting interest and participation in the sport across the nation.""]",
,,,
52,['Man accused of setting Rebecca Cheptegei on fire dies of burns']," ""NEW DELHI: A man suspected of dousing Olympic athlete Rebecca Cheptegei with gasoline which led to her death a few days later has passed away from burns received in the incident according to the Kenyan hospital where he received treatment.Dickson Ndiema suffered burns over 30% of his body when he was brought to the Moi Referral Hospital in Eldoret City's west.It is said that Ndiema burned Olympic athlete Rebecca Cheptegei who passed away last Thursday from burns covering 80% of her body.Owen Menach a hospital spokesman confirmed that the patient had passed away but said the institution will make a statement later according to The Associated Press on Tuesday.A complaint filed by the local chief claimed that Ndiema and Cheptegei had quarrelled over a plot of land that the athlete had purchased in Kenya.  BY TABOOLASPONSORED LINKSYOU MAY LIKELearn about hotel management diplomahotel management diploma | Search AdsLearn MoreLess than two months before to the incident Cheptegei was a competitor in the women's marathon at the Olympics in Paris. She came in at number 44.Cheptegei's parents said their daughter purchased land in the Trans Nzoia county so she could be close to the several sports training facilities in Kenya.Last week Joseph Cheptegei the athlete's father told media that his daughter's ex-boyfriend Ndiema was threatening and following her and that the family had reported the incident to the police.He bemoaned the fact that the suspect was not being watched over at his hospital bed stated he wanted justice and voiced worry that he may break free.On Saturday Cheptegei is anticipated to be laid to rest at her Ugandan home.""]",
,,,
53,['Pakistan athletes get Indian visas," 'India and Pakistan (Image Credit: X)NEW DELHI: After initial visa delays the 12-member Pakistan junior athletics contingent has arrived in India to participate in the South Asian Athletics Federation (SAAF) Junior Championships.The tournament is scheduled to take place in Chennai from September 11th to 13th 2024.Confirmation of the team\'s departure came from an official source within the Pakistani athletics contingent.The official stated that the athletes and accompanying officials received their visas from the Indian High Commission on Saturday paving the way for their travel on Monday.""The contingent has left via the Wagah border from where they will go to Amritsar and fly to Chennai where the South Asian Junior Athletics Championship is being held"" the official said.  BY TABOOLASPONSORED LINKSYOU MAY LIKEI can\'t lose my son! Please save him from a deadly disorderGive Hope IndiaLearn MoreThe Athletics Federation of India (AFI) responsible for organizing the SAAF Junior Championships acknowledged the arrival of the Pakistani contingent via a post on X.The post included a photograph of the team at the Wagah border and confirmed their participation in the upcoming tournament.""Pakistan junior athletics team and officials arrived today at wagah border in Amritsar. The athletes will compete at SAAF junior championship in Chennai starting September 11"" the AFI posted on X.The participation of the Pakistani team signifies the importance of sports diplomacy within the South Asian region.Despite existing political complexities sporting events like the SAAF Junior Championships provide a platform for young athletes from different nations to compete and build camaraderie.The competition promises to be a showcase of emerging athletic talent from across South Asia with the Pakistani athletes undoubtedly aiming for a strong showing in their respective events.']",
,,,
54,['Paris to honour murdered Ugandan Olympian Rebecca Cheptegei']," 'NEW DELHI: The mayor of Paris Anne Hidalgo declared on Friday that the city will dedicate a sports facility in memory of the Olympic runner from Uganda Rebecca Cheptegei who passed away.Cheptegei a competitor in the women\'s marathon at the Paris Olympics last month passed away on Thursday from severe burns sustained when her boyfriend doused her home in petrol and set it on fire.""She dazzled us here in Paris. We saw her. Her beauty her strength her freedom and it was in all likelihood her beauty strength and freedom which were intolerable for the person who committed this murder"" Hidalgo told reporters as per AFP.""Paris will not forget her. We\'ll dedicate a sports venue to her so that her memory and her story remains among us and helps carry the message of equality which is a message carried by the Olympic and Paralympic Games"" Hidalgo added.In the women\'s marathon at the Paris Games Cheptegei 33 made her Olympic debut by placing 44th.Dickson Ndiema Marangach her Kenyan partner attacked her in front of her kids on Sunday leaving her with 80% burns according to police and medical professionals.']",
,,,
55,['Neeraj Chopra qualifies for Diamond League season finale in Brussels']," 'Neeraj Chopra. (Photo by Lintao Zhang/Getty Images)NEW DELHI: India\'s two-time Olympic medal-winning javelin throw star Neeraj Chopra qualified for this month\'s Diamond League season finale after placing fourth overall following the competition\'s 14 series meetings worldwide.The two-day season finale will take place in Brussels on September 13 and 14. From his two second-place finishes in the one-day events in Lausanne and Doha Chopra amassed 14 points.He did not participate in the final series meeting in Zurich as per PTI.The 26-year-old sits two points behind Jakub Vadlech of the Czech Republic. With 29 and 21 points respectively German sensation Julian Weber and Grenada\'s Anderson Peters hold the top two positions. Peters had won the meet in Zurich over Weber.Chopra who added a silver medal to his collection in the Paris edition last month after winning gold in the Tokyo Olympics in 2021 has been having trouble staying healthy this season.The Haryana lad has mentioned that he has been dealing with a groin problem since before the Olympics which has prevented him from reaching the 90-meter mark.In the Lausanne Diamond Leg Peters with a throw of 90.61 meters defeated the Indian in second place. Arshad Nadeem of Pakistan won the gold medal in the Olympics in Paris with a tremendous 92.97-meter throw.""First goal go to the doctor and make my groin 100 per cent fit and also I will be technically better and try to throw far again"" he had said last month about his plans for this year and the coming one.In the winner-take-all finale held in Eugene USA last year Chopra finished second behind Vadlejch having won the Lausanne leg in 2022 and 2023.A coveted ""Diamond Trophy"" USD 30000 in prize money and a wild card into the World Athletics Championships are given to the winners of the Diamond League season finale.Chopra\'s season will end with the DL finale.']",
,,,
56,['Set on fire by boyfriend, 'Rebecca Cheptegei a Ugandan Olympian passed away in Kenya after being set on fire by her boyfriend. The attack happened shortly after she competed in the Paris Olympics marathon. This tragic event has brought renewed attention to the issue of domestic violence in Kenya where similar incidents have occurred recently.'],
,,,
57,"[""Aarti wins 10000m race walk bronze with NR to open India's account in U-20 World Athletics Championships""]"," ""(World Athletics Photo)NEW DELHI: Aarti a 17-year-old Indian athlete secured a bronze medal in the women's 10000m race walk event at the World U-20 Athletics Championships in Lima on Friday setting a new national record with a time of 44 minutes 39.39 seconds.This achievement marked the beginning of India's medal tally in the competition PTI reported.Aarti surpassed her previous national record of 47:21.04 which she had set in March while winning gold at the National Federation Cup U20 Championships in Lucknow.The gold and silver medals in the challenging event were claimed by Chinese race walkers Zhuoma Baima (43:26.60) and Meiling Chen (44:30.67) respectively.In the men's 4x400m relay heats the Indian team of Rihan Chaudhary Ankul Abiram Pramod and Jay Kumar broke the national U20 record clocking 3 minutes 08.10 seconds. They finished second in heat 3 and advanced to the final round.In another notable performancePooja Singh a 17-year-old from Fatehbad district Haryana broke the national U20 women's high jump record during the qualification round on Thursday night.Pooja the daughter of a mason cleared a height of 1.83m surpassing her own previous record of 1.82m set last year in Korea where she won a silver medal at the Asian U-20 Championships.Her impressive jump earned her a second-place finish in qualification round group B and a ninth-place finish overall securing her spot in the final scheduled for Saturday.""]",
,,,
58,['Is he the next Usain Bolt? 14-year-old Divine Iheme shatters 100m world record for his age group']," 'Divine Iheme and Usain BoltIt might be too early to crown Divine Iheme as the next Usain Bolt but the 14-year-old sprinting sensation from Great Britain is certainly making waves in the athletics world. With his recent performances Iheme has brought back memories of Bolt\'s electrifying runs signaling the arrival of a potential future star.Divine Iheme obliterated the world 100m record for his age group clocking an extraordinary 10.30 seconds at the Lee Valley athletics meet on August 26.This stunning achievement surpasses the previous record of 10.51 seconds set by Jamaica’s Sachin Dennis and places Iheme in the global spotlight as one of the most promising young athletes.Known as \'Lightning Divine\' Iheme was already recognized as the fastest 14-year-old over 100m in the UK having set a personal best of 10.56 seconds at the England Athletics Under-15 and Under-17 Open Championships last month.His 10.30-second sprint at Lee Valley not only smashed the previous world best but also placed him third on the European under-18 all-time list. Only Great Britain’s Teddy Wilson (10.26) and France’s Jeff Erius (10.27) have recorded faster times in the under-18 category.If Iheme continues his rapid progress he could potentially challenge the legendary Usain Bolt\'s 100m world record of 9.58 seconds in the future.Who is Divine Iheme?Born on January 1 2009 to Nigerian parents Innocent and Nkiruku Iheme Divine has grown up in a highly supportive sporting environment. His mother Nkiruku who also coaches him founded the PWD Athletic Academy in Oxfordshire where the family resides and Divine trains. Both of his parents have a rich athletic background having represented Nigeria at the 2002 Commonwealth Games in Manchester.Despite his rapid rise Divine remains humble and attributes his success to natural talent. He has closely studied the techniques of legendary sprinters like Usain Bolt and Allyson Felix but insists on maintaining his unique style.""I’ve watched quite a lot of Usain Bolt’s races and Allyson Felix’s 200m 400m and relays"" Iheme shared with Sky Sports. ""Probably the first race I watched was his 200m world record the 19.19 and I was inspired to pursue the dream. In my opinion I think my running style is unique and natural. I don’t try to model it from anyone. It’s just a God-given talent.""As Iheme continues to break records and attract attention with his extraordinary performances he is being touted as a future track star for Great Britain. With his remarkable achievements at such a young age Divine Iheme is undoubtedly a name to watch in the world of athletics.']",
,,,
59,['India qualify for 4x400m mixed relay final at World Athletics U20 Championships'], 'The Indian team of Jay Kumar Neeru Pahtak Rihan Chaudhary and Sandramol Sabu reached the 4x400m mixed relay final at the World Athletics U20 Championships in Lima Peru finishing third with a season-best 3:22.54 seconds. Australia topped the standings with 3:21.10 seconds followed by Poland at 3:21.92 seconds. The final will be highly competitive.'],
,,,
60,['Mondo Duplantis breaks own pole vault world record at Silesia Diamond League']," ""Mondo Duplantis (AFP photo)NEW DELHI: Mondo Duplantis of Sweden set a new pole vault world record by clearing 6.26 metres during his second attempt at the Silesia Diamond League meeting on Sunday.This marks the 24-year-old's tenth world record surpassing his previous best of 6.25 metres achieved earlier this month while retaining his Olympic gold medal in Paris. This is also the third time this year that Duplantis has broken his own record.Earlier this month Duplantis thrilled the Stade de France crowd at the Paris Olympics by breaking the world record for the ninth time.PollWhat kind of a pitch should India prepare for the 3rd Test in Mumbai?Turning trackSporting wicketSeaming pitchDespite his success many felt that Duplantis had more to achieve.On Wednesday in Lausanne he cleared 6.15 metres to secure a win hinting at further accomplishments to come.At the Silesia Stadium in Chorzow after clearing six metres Duplantis had the bar raised to 6.26 metres. His first attempt was unsuccessful which lowered expectations from the crowd.However on his second attempt the Swede soared over the bar racing to the track and then falling to the ground in celebration.In the same competition Olympic silver medallist Sam Kendricks of the United States cleared 6.00 metres before failing at 6.08 earning him second place. Paris bronze-medal winner Emmanouil Karalis of Greece finished third by also clearing six metres.The crowd had already witnessed Norwegian Jakob Ingebrigtsen shatter the long-standing 3000 metres world record with a time of seven minutes 17.55 seconds to beat the record set by Kenya's Daniel Komen in 1996 when he ran 7:20.67.""]",
,,,
61,"[""'Neeraj Chopra very disciplined and dedicated"," 'Neeraj Chopra (Reuters photo)NEW DELHI: Legendary para-athlete Devendra Jhajharia believes that it is only a matter of time before Neeraj Chopra breaches the 90m mark predicting that the star javelin thrower could reach a distance of 93m within the next one to two years.Neeraj recently won a silver medal at the Paris Olympics with a throw of 89.45m while Pakistan\'s Arshad Nadeem set an Olympic record with a throw of 92.97m to win gold.On Thursday Neeraj finished second in the Lausanne Diamond League with a throw of 89.49m trailing behind Anderson Peters of Grenada who threw 90.61m.Jhajharia a double Paralympics gold medalist in the F46 category highlighted that once Neeraj breaks through the 90m barrier he expects the javelin thrower to exceed it by a significant margin predicting an increase of 3 to 4 meters.""If I say in the language of javelin throw 89-plus has become a barrier for Neeraj currently. I have seen in my sporting career of 20 years when a barrier is broken it does not break by just a mere metre or so but by 3 to 4 metres"" the 43-year-old Jhajharia told PTI.""When Neeraj does that he will not throw just 90-plus his javelin will go 3-4 metres farther. Please remember my words.""So Neeraj will throw 92m to 93m when the barrier is broken. He should do it in one or two years"" said Jhajharia who was elected as Paralympic Committee of India (PCI) president in March.Additionally Jhajharia who also won a silver medal at the Tokyo Paralympics noted that Neeraj\'s peak form is yet to come and anticipated it within the next two years.""Age is in his favour 26 is no age and I am hoping that he will be at his peak when he is 28 or 29. By then he will do his best.""He is very disciplined and very dedicated. I have seen that when we trained together in 2022 in Finland"" he said.Neeraj will turn 27 in December this year.']",
,,,
62,"[""Neeraj Chopra reveals reason behind his season's best throw in Diamond League""]"," '(Reuters Photo)NEW DELHI: Neeraj Chopra the Indian javelin throw star shared that a piece of advice from Julius Yego his Kenyan rival played a crucial role in helping him maintain composure before delivering a season-best performance to secure second place at the Diamond League in Lausanne.Chopra found himself in fourth position after the fourth round but he managed to unleash a throw of 85.58m in his fifth attempt keeping him within the top three.TOP PICKS FOR YOU\'The feeling wasn\'t great at first but...\': Neeraj Chopra after his season\'s best effortIn his final attempt he achieved an impressive 89.49m on Thursday securing the second spot behind Anderson Peters of Grenada who threw 90.61m.The Indian athlete\'s performance showed a slight improvement compared to his 89.45m throw at the Paris Olympics just days earlier.  BY TABOOLASPONSORED LINKSYOU MAY LIKELearn about hotel management diplomahotel management diploma | Search AdsLearn MoreThe Diamond League format allows only the top three athletes after five rounds to make the final attempt and Chopra\'s ability to stay calm under pressure thanks to Yego\'s guidance proved instrumental in his success.""(Anderson) Peters threw 90m my body didn\'t feel good but the fighting spirit was nice today. I really liked my comeback. In the last throw I didn\'t think too much just gave my best"" Chopra told the host broadcaster in the mixed zone as quoted by PTI.""In the first throw I thought I will do this I will do that but in the last throw I did not also Julius Yego said \'relax you will throw far\'. I tried to relax"" he added.Yego finished sixth with an effort of 83m.Chopra described the competition that day as ""strange"" admitting that he didn\'t feel fully prepared when he began.""...in the beginning I did not think I will throw very far but in the end it was good"" he said.Asked how much more would he compete this season the Indian said ""May be two or one competition and then finish the season. I am not sure maybe Brussels (Diamond League finale).""Chopra\'s second-place finish on Thursday earned him seven points bringing him to 15 points and tying him with Weber for third place in the Diamond League standings.Peters moved into the top spot with 21 points while Czech Republic\'s Jakub Vadlejch who finished seventh with a throw of 82.03m holds second place with 16 points.The Diamond League finals this season will take place in Brussels on September 14 and Chopra needs to finish in the top six of the series standings to qualify.Despite dealing with a long-standing groin injury Chopra secured a silver medal at the Paris Olympics on August 8 adding to his historic gold from the Tokyo Games three years ago.Looking ahead to next year Chopra stated that his main goal is to regain full fitness.""First goal go to the doctor and make my groin 100 percent fit and also I will be technically better and try to throw far again"" he signed off.']",
,,,
63,"[""'The feeling wasn't great at first"," 'Neeraj Chopra. (Reuters Photo)NEW DELHI: Despite persistent fitness worries star Indian javelin thrower Neeraj Chopra put up a gutsy performance that resulted in a season\'s best effort of 89.49 meters finishing second in the Lausanne Diamond League.The 26-year-old started the fourth round in fourth place and shot his spear 85.58 meters on his fifth try. He left the best for last and he recorded a last try of 89.49 meters on Thursday which was just slightly better than the 89.45 meters he had just a few days before at the Olympics in Paris.He nearly missed the sixth throw but his 85.58-meter fifth round performance kept him safe.After five rounds only the top three receive their respective final chances.With a huge throw of 90.61 meters in the second round Grenada\'s Anderson Peters-a two-time world champion and bronze medallist at the Paris Olympics-won the competition. Julian Weber of Germany finished third with 87.08 meters.""The feeling wasn\'t great at first but I am happy with my throw especially the second (career) best throw on my last attempt. It was a tough start but the comeback was really nice and I enjoyed the fighting spirit I showed"" Chopra said after the event as per PTI.""Even though my early throws were around 80-83m I pushed hard in the last two attempts finishing strong. Competing at this high level it\'s important to stay mentally tough and fight through.""After having trouble finding his form the previous year Peters dominated this competition from start to finish setting a record for his class with a throw of more than 90 meters in the final round. In 2022 he set a personal best of 93.07 meters.Chopra is tied for third place in the Diamond League rankings with Weber with 15 points having earned seven points from Thursday\'s second-place result. Peters scored 21 points to take the lead.With 16 points Jakub Vadlejch of the Czech Republic who placed seventh on Thursday (82.03 meters) is currently in second place.Despite having a chronic groin ailment Chopra finished the Olympics on August 8 with a silver medal adding to his historic gold from the Games in Tokyo three years prior.Arshad Nadeem of Pakistan defeated Chopra in Paris with an Olympic record throw of 92.97 meters. Nadeem was absent from the field at the Lausanne Diamond League.Chopra said on Saturday that he would be playing in the Lausanne Diamond League delaying his decision regarding a potential surgery until the end of the current campaign.In the winner-take-all Diamond League final held in Eugene USA last year Chopra finished second behind Vadlejch. Chopra had won the Lausanne leg in 2022 and 2023.The DL finals for this season will take place on September 14 in Brussels. To make it to the series finale Chopra must be among the top six finishers.On September 5 there will be another DL meeting in Zurich with a men\'s javelin throw competition scheduled.This year Chopra has failed to win a DL meeting. On May 10 he came in second to Vadlejch in Doha.Having taken home the gold at the Budapest World Championships the previous year the Indian has been managing his groin issue.']",
,,,
64,"[""Neeraj Chopra finishes second in Lausanne Diamond League with season's best 89.49m""]", 'Neeraj Chopra (Reuters Photo)NEW DELHI: Paris Olympics silver medallist Neeraj Chopra secured the second position in the Lausanne Diamond League javelin throw competition on Thursday achieving a season-best performance of 89.49m.Until the fourth round the 26-year-old Chopra was in fourth place. However in his fifth attempt he launched his spear to a distance of 85.58m.He saved the best for the last as his sixth and final attempt measured 89.49m.The event was won by Anderson Peters of Grenada the two-time world champion and Paris Olympics bronze medallist with a massive throw of 90.61m in his second round.Julian Weber of Germany clinched the third position with a throw of 87.08m.Chopra who has been dealing with a persistent groin injury won a silver medal at the Paris Olympics on August 8 with a throw of 89.45m.This achievement follows his historic gold medal victory at the Tokyo Olympics three years prior.'],
,,,
65,['Neeraj Chopra disappointed after falling short of 90m mark in Lausanne - WATCH'], ['Neeraj Chopra the Paris Olympics silver medallist secured the second position in the Lausanne Diamond League javelin throw competition on Thursday achieving a season-best performance of 89.49m. Until the fourth round the 26-year-old Chopra was in fourth place. However in his fifth attempt he launched his spear to a distance of 85.58m. He saved the best for the last as his sixth and final attempt measured 89.49m.Read More'''],
,,,
66,['Neeraj Chopra takes field in Lausanne for Diamond League title'], 'Indian javelin star Neeraj Chopra fresh off a silver medal at the Paris Olympics will compete at the Lausanne Diamond League meeting. His goal is to reclaim the Diamond League trophy at the Brussels finale. Despite a persistent groin injury Chopra ranked fourth in the standings aims to improve on last year’s second-place finish.'],
,,,
67,['Neeraj Chopra confirms he will play at the Lausanne Diamond League']," ""India's legendary javelin-thrower Neeraj Chopra who won a silver medal at the Paris Olympics said that he was fully confident of upstaging Pakistan's eventual gold medallist Arshad Nadeem's giant throw in the final but his less-than-100% physical condition didn't allow that. However Neeraj has confirmed that he will be competing at the Lausanne Diamond League later this month.""]",
,,,
68,"[""Neeraj Chopra's medal at Paris Olympics not quite a silver lining in athletics""]"," ""India's 27-member athletics contingent led by Tokyo Olympics gold medallist Neeraj Chopra secured only one medal at the Paris Olympics - Neeraj's silver in javelin throw. Expectations were high due to previous performances in the 2022 Commonwealth and Asian Games but only Neeraj and Avinash Sable reached the finals. Emphasizing the need for a larger pool of elite athletes.""]",
,,,
69,"[""Shocking! Saina Nehwal didn't know there's an event called javelin until Neeraj Chopra won Olympic gold""]"," 'Saina Nehwal and Neeraj Chopra (IANS/ANI Photos)Saina Nehwal\'s bronze medal at the 2012 London Olympics led to a badminton revolution in India especially among the women trying to make it big in the sport which makes her one of the icons of badminton in the country.The 34-year-old from Haryana who recently turned to politics is a three-times Olympian besides being a Commonwealth Games (CWG) gold medallist on three occasions and winner of two bronze medals at the Asian Games.However her recent comment about the track-and-field event javelin throw is in shocking contrast to her multiple appearances at global multidisciplinary events since the 2006 CWG.Appearing on a podcast Saina\'s response to podcaster Shubhankar Mishra\'s comment that he didn\'t know about javelin throw until Neeraj Chopra won Olympic gold in Tokyo startled the viewers.""When Neeraj won (Tokyo gold in 2021) that\'s when I got to know there is such an event in athletics"" she said in the teaser of the yet-to-be-released episode.  BY TABOOLASPONSORED LINKSYOU MAY LIKEI can\'t lose my son! Please save him from a deadly disorderGive Hope IndiaLearn MoreFive years before becoming the Olympic gold medallist Neeraj was crowned the junior world champion in 2016.He also became the Asian Games and Commonwealth Games gold medallist in 2018.Before his silver medal at the Paris Olympics this week where Pakistan\' Arshad Nadeem pipped the defending champion to gold Neeraj was crowned the world champion at the 2023 Budapest World Championships.']",
,,,
70,"[""'Never compare myself with Kohli or Dhoni because...': Neeraj Chopra on his popularity in India""]"," '(Photo by Lintao Zhang/Getty Images)NEW DELHI: Neeraj Chopra\'s popularity in the country has skyrocketed since he won India\'s first Olympic gold medal in athletics at the Tokyo Olympics. But the fame doesn\'t seem to get into his head and continues to display his modest nature.When asked about his fame in comparison to renowned cricketers like Virat Kohli and MS Dhoni Neeraj humbly declined to draw any parallels.Neeraj acknowledged that cricket remains the most beloved sport in India.However he aspires for javelin to reach similar levels of popularity and success within the country. Neeraj clarified that he doesn\'t wish for javelin\'s growth to come at the cost of other sports.""If you respect your sport and feel satisfied with it then nothing else should matter"" Neeraj Chopra told Sportstar.""At the Doha Diamond League I was asked how popular I was in India. I never tried to compare myself with the likes of Virat Kohli or MS Dhoni because I\'m very well aware of the reality of what I am in India"" he said.""Yes obviously after the Olympics people recognize me a lot more but I know there is a stark difference in my popularity compared to that of a cricketer. Cricket is played in every single alley in the country. It\'s not like people practise javelin throw in the same way"" the javelin ace added.""I don\'t want any shortcuts to make my sport popular. I want my sport to become popular with my hard work and effort.""""If there are more javelin-based competitions in India like the Diamond League people will become more interested in watching and following the sport. With talented javelin athletes in India there should be national-level leagues to compete. This would help to boost the sport in India"" he further said.Neeraj will lead Indian contingent of 118 athletes in the Paris Olympics starting July 26.']",
,,,
71,['Jyothi Yarraji set to be first Indian 100m hurdler in Olympics as World Athletics updates list of qualified athletes'], 'Jyothi Yarraji is poised to become the first Indian 100m hurdler to participate in the Olympics while shot putter Abha Khatua secured an unexpected spot through world rankings for the upcoming Paris Games. The World Athletics released the list of athletes who qualified directly by surpassing the entry standard and those who made it through the world ranking quota on Tuesday. However the Athletics Federation of India (AFI) will have the final say in selecting the athletes who qualified via the world ranking quota.'],
,,,
72,['Neeraj Chopra opts out of Paris Diamond League: Report']," 'Neeraj Chopra. (File Pic - Photo by Patrick Smith/Getty Images)NEW DELHI: Olympic and world champion javelin thrower Neeraj Chopra has withdrawn from this Sunday\'s Paris Diamond League due to an adductor niggle that has been bothering him for the past few months according to a report.In an interview with \'ESPN\' Neeraj mentioned that he is concentrating on training and strengthening his blocking leg.""I need to strengthen my blocking leg when I throw because that\'s when my groin gets pulled.We\'re working on that to see how we can reduce the impact on the groin and control the pressure on it"" PTI quoted Neeraj who explained the issue for which he will consult ""different doctors"" after the Paris Games.""I could have competed in more events for sure and that was the plan. But I have realised that my health is paramount that comes first. Even if I feel the slightest discomfort or like I am pushing myself too much in training I\'ve learnt to pause for a bit"" he added.  BY TABOOLASPONSORED LINKSYOU MAY LIKELearn about hotel management diplomahotel management diploma | Search AdsLearn MoreThe block phase is a crucial maneuver in javelin throwing where the pace generated by the run-up is transferred to the hip and then to the throwing arm before the javelin is launched.Neeraj who led the field at last month\'s Paavo Nurmi Games in Turku Finland with a throw of 85.97m stated that he has become wiser over the years. He no longer puts himself at risk to fulfill commitments as he used to before winning his Olympic gold.""Back then if I had an entry in a competition I would definitely go and compete no matter what happened. But now with more experience I am better placed to make correct decisions"" he said.""I was happy with my performance in Turku but I felt there was more work to do. I was slow on the runway compared to my normal speed.""I want that speed back and for that I need proper confidence that I am fully fit and that my groin is fit. I want to feel confident when I run on the runway"" he pointed out.']",
,,,
73,['Olympic dreams in jeopardy as Indian javelin star DP Manu provisionally suspended due to suspected anti-doping rule violation']," [""Indian javelin thrower DP Manu faces a setback in Olympic qualification as the Athletics Federation of India (AFI) provisionally suspends him following a suspected anti-doping rule violation directed by the National Anti-Doping Agency (NADA). The specifics of the alleged violation are undisclosed with Manu seeking clarification. Ranked 15th globally for the Paris Olympics Manu's suspension jeopardizes his bid alongside compatriots Neeraj Chopra and Kishore Jena. With the qualification deadline approaching the outcome of the NADA investigation will decide his Olympic fate.Read More""]",
,,,
74,"[""Kiran Pahal secures Olympic berth in women's 400m""]"," ""Kiran Pahal from Haryana secured her spot at the Paris Olympics by achieving a time of 50.92 seconds in the women's 400m semifinal at the National Inter-State Athletics Championships in Panchkula on Thursday. The qualifying standard for the event was set at 50.95 seconds which Pahal successfully surpassed. With this performance Pahal not only recorded her season's best timing but also became the second Indian woman to complete the race in under 51 seconds.""]",
,,,
75,['Neeraj Chopra happy with his abductor, 'Indian javelin thrower Neeraj Chopra has recently spoken about the adductor niggle that has been impacting his performance this season. He plans to seek advice from various medical professionals after the upcoming Paris Olympics to find a solution for this persistent problem. Despite the injury Chopra made a successful comeback at the Paavo Nurmi Games on Tuesday securing his first gold medal at the event with a throw of 85.97m in his third attempt. This achievement came after a month-long hiatus from competitions.'],
,,,
76,['Javelin star Neeraj Chopra claims gold at Paavo Nurmi Games'], 'Neeraj Chopra Olympic and world champion javelin thrower secured his first gold medal at the Paavo Nurmi Games in Turku Finland on Tuesday after returning from a minor injury break. The competition also included 19-year-old German talent Max Dehning and local favorite Toni Keranen. Neerj secured gold with a throw of 85.97m on his third attempt.'],
,,,
